90471,13171     DE HAVEN AVE,SYLMAR,CA,91342
90472,13171     DESMOND ST,PACOIMA,CA,91331
90473,13171     NEWLAND ST,GARDEN GROVE,CA,92844
90474,13171     STEWART CT,SARATOGA,CA,95070
90475,13172     11TH ST,CHINO,CA,91710
90476,13172     DON JULIAN RD,LA PUENTE,CA,91746
90477,13172     GOLETA ST,PACOIMA,CA,91331
90478,13172     LUCILLE ST,GARDEN GROVE,CA,92844
90479,13172     REEDLEY ST,ARLETA,CA,91331
90480,13172     VAN NUYS BLVD,PACOIMA,CA,91331
90481,13172     VAUGHN ST,SAN FERNANDO,CA,91340
90482,13172     YOCKEY ST,GARDEN GROVE,CA,92844
90483,13173     BRANFORD ST,ARLETA,CA,91331
90484,13173     BRYSON ST,ARLETA,CA,91331
90485,13173     CRANSTON AVE,SYLMAR,CA,91342
90486,13173     GOLETA ST,PACOIMA,CA,91331
90487,13173     HEDDA DR,CERRITOS,CA,90703
90488,13173     PACIFIC PROMENADE,PLAYA VISTA,CA,90094
90489,13173     REEDLEY ST,ARLETA,CA,91331
90490,13173     TRIPOLI AVE,SYLMAR,CA,91342
90491,13174     DE HAVEN AVE,SYLMAR,CA,91342
90492,13174     EMERY AVE,BALDWIN PARK,CA,91706
90493,13174     HOYT ST,PACOIMA,CA,91331
90494,13174     MIRA MAR DR,SYLMAR,CA,91342
90495,13174     OTTOMAN ST,ARLETA,CA,91331
90496,13174     STONECREST LN,CONROE,TX,77302
90497,13175     CREEK VIEW DR,GARDEN GROVE,CA,92844
90498,13175     EMERY AVE,BALDWIN PARK,CA,91706
90499,13175     FILMORE ST,PACOIMA,CA,91331
90500,13175     FOUNTAIN PARK DR,PLAYA VISTA,CA,90094
90501,13175     GARBER ST,PACOIMA,CA,91331
90502,13175     LA MESA DR,DESERT HOT SPRINGS,CA,92240
90503,13175     LAKE POINT BLVD,BELLEVILLE,MI,48111
90504,13175     N HAYWORTH ST,W HOLLYWOOD,CA,90046
90505,13175     ORTLEY PL,VAN NUYS,CA,91401
90506,13176     CORCORAN ST,SAN FERNANDO,CA,91340
90507,13176     DON JULIAN RD,LA PUENTE,CA,91746
90508,13176     FILMORE ST,PACOIMA,CA,91331
90509,13176     GOLETA ST,PACOIMA,CA,91331
90510,13176     JUDD ST,PACOIMA,CA,91331
90511,13176     NAVAJO RD,APPLE VALLEY,CA,92308
90512,13176     OCCOQUAN RD,WOODBRIDGE,VA,22191
90513,13176     VAUGHN ST,SAN FERNANDO,CA,91340
90514,13177 1/2 BROMONT AVE,SYLMAR,CA,91342
90515,13177     ALTA VISTA WAY,SYLMAR,CA,91342
90516,13177     BRADLEY AVE,SYLMAR,CA,91342
90517,13177     BROMONT AVE,SYLMAR,CA,91342
90518,13177     DAVENTRY ST,PACOIMA,CA,91331
90519,13177     GOLETA ST,PACOIMA,CA,91331
90520,13177     LAKOTA ST,MORENO VALLEY,CA,92553
90521,13177     SAYRE ST,SYLMAR,CA,91342
90522,13177     TONOPAH ST,ARLETA,CA,91331
90523,13177     VISTA VIEW CIR,SYLMAR,CA,91342
90524,13178     BRYSON ST,ARLETA,CA,91331
90525,13178     CABAZON CT,VICTORVILLE,CA,92395
90526,13178     MONTAGUE ST,ARLETA,CA,91331
90527,13178     PAWNEE DR,MORENO VALLEY,CA,92555
90528,13178     THISTLE BROOK DR,MORENO VALLEY,CA,92553
90529,13179 1/2 BROMONT AVE,SYLMAR,CA,91342
90530,13179     BRANFORD ST,ARLETA,CA,91331
90531,1318 -1320 15TH AVE,SAN FRANCISCO,CA,94122
90532,1318 1/2 E 60TH ST,LOS ANGELES,CA,90001
90533,1318 1/2 HAVENHURST DR,WEST HOLLYWOOD,CA,90046
90534,1318 1/2 LINWOOD AVE,LOS ANGELES,CA,90017
90535,1318 1/2 LUCILE AVE,LOS ANGELES,CA,90026
90536,1318 1/2 MEANDER ST,ABILENE,TX,79602
90537,1318 1/2 N MCCADDEN PL,LOS ANGELES,CA,90028
90538,1318 1/2 S PALOS VERDES ST,SAN PEDRO,CA,90731
90539,1318 1/2 W 92ND ST,LOS ANGELES,CA,90044
90540,1318     11TH AVE,SAN FRANCISCO,CA,94122
90541,1318     121ST AVE SE,BELLEVUE,WA,98005
90542,1318     12TH AVE,LOS ANGELES,CA,90019
90543,1318     16TH ST,MONTGOMERY,AL,36120
90544,1318     16TH ST,SANTA MONICA,CA,90404
90545,1318     18TH AVE,SAN FRANCISCO,CA,94122
90546,1318     19TH ST,SANTA MONICA,CA,90404
90547,1318     20TH ST,SAN FRANCISCO,CA,94107
90548,1318     22ND ST NW,WASHINGTON,DC,20037
90549,1318     24TH ST,GALVESTON,TX,77550
90550,1318     26TH AVE,SAN FRANCISCO,CA,94122
90551,1318 3/4 VIRGIL PL,LOS ANGELES,CA,90027
90552,1318     32ND AVE,SAN FRANCISCO,CA,94122
90553,1318     33RD AVE,SAN FRANCISCO,CA,94122
90554,1318     34TH AVE,SAN FRANCISCO,CA,94122
90555,1318     4 VIRGIL PL,LOS ANGELES,CA,90027
90556,1318     41ST AVE,SAN FRANCISCO,CA,94122
90557,1318     44TH AVE,SAN FRANCISCO,CA,94122
90558,1318     AGATE ST,REDONDO BEACH,CA,90277
90559,1318     AMETHYST ST,REDONDO BEACH,CA,90277
90560,1318     APPALOOSA RD,BOULDER CITY,NV,89005
90561,1318     ARKELL RD,WALNUT CREEK,CA,94598
90562,1318     ARMADALE AVE,LOS ANGELES,CA,90042
90563,1318     ASHBY AVE,BERKELEY,CA,94702
90564,1318     B ST,HAYWARD,CA,94541
90565,1318     BANCROFT WAY,BERKELEY,CA,94702
90566,1318     BARBETTY WAY,BEAUMONT,CA,92223
90567,1318     BECKMAN CT,FULLERTON,CA,92833
90568,1318     BLOSSOM ST,GLENDALE,CA,91201
90569,1318     BROOKLYN BLVD,BAY SHORE,NY,11706
90570,1318     CALIFORNIA AVE,SAN PABLO,CA,94806
90571,1318     CAMRAN AVE,LANCASTER,CA,93535
90572,1318     CASMALIA CT,SIMI VALLEY,CA,93065
90573,1318     CHANSLOR AVE,RICHMOND,CA,94801
90574,1318     CHAPEL HILL DR,ROSEDALE,MD,21237
90575,1318     CHILTON DR,FAYETTEVILLE,NC,28314
90576,1318     CORDOVA AVE,GLENDALE,CA,91207
90577,1318     CORDOVA ST,SAN FRANCISCO,CA,94112
90578,1318     CORNELL AVE,BERKELEY,CA,94702
90579,1318     CORSON ST,PASADENA,CA,91106
90580,1318     CRIQUE WAY,ROSWELL,GA,30076
90581,1318     E 100TH ST,LOS ANGELES,CA,90002
90582,1318     E 107TH ST,LOS ANGELES,CA,90002
90583,1318     E 18TH ST,NATIONAL CITY,CA,91950
90584,1318     E 21ST ST,LOS ANGELES,CA,90011
90585,1318     E 23RD ST,MINNEAPOLIS,MN,55404
90586,1318     E 38TH PL,TULSA,OK,74105
90587,1318     E 62ND ST,LOS ANGELES,CA,90001
90588,1318     E 91ST ST,LOS ANGELES,CA,90002
90589,1318     E BROADWAY,GLENDALE,CA,91205
90590,1318     E HAWTHORNE BLVD,WHEATON,IL,60187
90591,1318     E MERCED AVE,WEST COVINA,CA,91790
90592,1318     EL ENCANTO DR,BREA,CA,92821
90593,1318     EUCLID ST,SANTA MONICA,CA,90404
90594,1318     EXPOSITION BLVD,LOS ANGELES,CA,90018
90595,1318     FE ST,LOS ANGELES,CA,90011
90596,1318     FRANCISCO DR,TALLAHASSEE,FL,32304
90597,1318     FREMONT ST,DELANO,CA,93215
90598,1318     GANNON DR,SACRAMENTO,CA,95825
90599,1318     GARDEN LN,SEBASTOPOL,CA,95472
90600,1318     GATEVIEW AVE,SAN FRANCISCO,CA,94130
90601,1318     GROVE WAY,CONCORD,CA,94518
90602,1318     GWINNETT SQUARE CIR,DULUTH,GA,30096
90603,1318     HAMPSHIRE ST,SAN FRANCISCO,CA,94110
90604,1318     HAVENHURST DR,WEST HOLLYWOOD,CA,90046
90605,1318     HIGH ST,LOGANSPORT,IN,46947
90606,1318     HIGHLAND AVE,LOUISVILLE,KY,40204
90607,1318     HIGHLAND DR,MODESTO,CA,95354
90608,1318     IOWA ST,FREMONT,NE,68025
90609,1318     KILOU ST,WAILUKU,HI,96793
90610,1318     LA PAZ DR,OJAI,CA,93023
90611,1318     LAKEVIEW DR,PROVO,UT,84604
90612,1318     LAS FLORES DR,LOS ANGELES,CA,90041
90613,1318     LORI LN,ROSEMEAD,CA,91770
90614,1318     MADRID AVE,TORRANCE,CA,90501
90615,1318     MANHATTAN AVE,MANHATTAN BEACH,CA,90266
90616,1318     MARTINGALE ST,EUGENE,OR,97401
90617,1318     MAYNARD DR E,SAINT PAUL,MN,55116
90618,1318     MORELAND DR,CLEARWATER,FL,33764
90619,1318     N 4TH AVE,DURANT,OK,74701
90620,1318     N ALEXANDRIA AVE,LOS ANGELES,CA,90027
90621,1318     N CRESCENT HEIGHTS BLVD,WEST HOLLYWOOD,CA,90046
90622,1318     N FASHION LN,ANAHEIM,CA,92806
90623,1318     N JUNE ST,LOS ANGELES,CA,90028
90624,1318     N KENWOOD ST,BURBANK,CA,91505
90625,1318     N OGDEN DR,WEST HOLLYWOOD,CA,90046
90626,1318     N PARK ST,VISALIA,CA,93291
90627,1318     N SCREENLAND DR,BURBANK,CA,91505
90628,1318     N SIERRA BONITA AVE,PASADENA,CA,91104
90629,1318     NEWNING AVE,AUSTIN,TX,78704
90630,1318     NOE ST,SAN FRANCISCO,CA,94131
90631,1318     NORTH AVENUE 50,LOS ANGELES,CA,90042
90632,1318     NORVELL ST,EL CERRITO,CA,94530
90633,1318     OAK ST,SAN BERNARDINO,CA,92410
90634,1318     OHIO AVE,LOS ANGELES,CA,90024
90635,1318     OLSEN AVE,BUCKLEY,WA,98321
90636,1318     ORDWAY ST,BERKELEY,CA,94702
90637,1318     OZONE AVE,SANTA MONICA,CA,90405
90638,1318     PALOU AVE,SAN FRANCISCO,CA,94124
90639,1318     PERALTA AVE,BERKELEY,CA,94702
90640,1318     POPLAR AVE,PACIFICA,CA,94044
90641,1318     POTOMAC DR,HOUSTON,TX,77057
90642,1318     RANCHO LN,THOUSAND OAKS,CA,91362
90643,1318     REVERE AVE,SAN FRANCISCO,CA,94124
90644,1318     ROSARIO ST,DAVIS,CA,95618
90645,1318     ROXBURY DR,LOS ANGELES,CA,90035
90646,1318     S 59TH ST,RICHMOND,CA,94804
90647,1318     S CENTRAL AVE,COMPTON,CA,90220
90648,1318     S GILBERT ST,FULLERTON,CA,92833
90649,1318     S LONGWOOD AVE,LOS ANGELES,CA,90019
90650,1318     S MANHATTAN PL,LOS ANGELES,CA,90019
90651,1318     S ORANGE GROVE AVE,LOS ANGELES,CA,90019
90652,1318     S PALMETTO AVE,ONTARIO,CA,91762
90653,1318     S TREMAINE AVE,LOS ANGELES,CA,90019
90654,1318     S WILTON PL,LOS ANGELES,CA,90019
90655,1318     SAN ANSELMO AVE,SAN ANSELMO,CA,94960
90656,1318     SANTA CLARA ST,RICHMOND,CA,94804
90657,1318     SANTA CLARA ST,VALLEJO,CA,94590
90658,1318     SCENIC DR,CHANDLER,TX,75758
90659,1318     SHEEHAN AVE,ANN ARBOR,MI,48104
90660,1318     SHRADER ST,SAN FRANCISCO,CA,94117
90661,1318     SINGER PL,PITTSBURGH,PA,15221
90662,1318     STEVENS AVE,SAN GABRIEL,CA,91776
90663,1318     STREET,HAYWARD,CA,94541
90664,1318     SW FREEMAN ST,PORTLAND,OR,97219
90665,1318     SWAINSON CT,VALLEJO,CA,94591
90666,1318     TREYVISTA CT,MARYVILLE,TN,37803
90667,1318     TRUITT ST,GLENDALE,CA,91201
90668,1318     VANGUARD CT,SAN JACINTO,CA,92582
90669,1318     W 107TH ST,LOS ANGELES,CA,90044
90670,1318     W 109TH ST,LOS ANGELES,CA,90044
90671,1318     W 119TH ST,LOS ANGELES,CA,90044
90672,1318     W 137TH ST,COMPTON,CA,90222
90673,1318     W 164TH ST,GARDENA,CA,90247
90674,1318     W 184TH ST,GARDENA,CA,90248
90675,1318     W 213TH ST,TORRANCE,CA,90501
90676,1318     W 35TH PL,LOS ANGELES,CA,90007
90677,1318     W 49TH ST,LOS ANGELES,CA,90037
90678,1318     W 55TH ST,LOS ANGELES,CA,90037
90679,1318     W 69TH ST,LOS ANGELES,CA,90044
90680,1318     W 71ST ST,LOS ANGELES,CA,90044
90681,1318     W 89TH ST,LOS ANGELES,CA,90044
90682,1318     W 94TH ST,LOS ANGELES,CA,90044
90683,1318     W CHANDLER ST,WILMINGTON,CA,90744
90684,1318     W CRUMLEY ST,WEST COVINA,CA,91790
90685,1318     W GAGE AVE,LOS ANGELES,CA,90044
90686,1318     W GARDENA BLVD,GARDENA,CA,90247
90687,1318     W I ST,WILMINGTON,CA,90744
90688,1318     W LULLWOOD AVE,SAN ANTONIO,TX,78201
90689,1318     W PARK WESTERN DR,SAN PEDRO,CA,90732
90690,1318     W ROSEWOOD CT,ONTARIO,CA,91762
90691,1318     W STOCKWELL ST,COMPTON,CA,90222
90692,1318     W VERDUGO AVE,BURBANK,CA,91506
90693,1318     WEBER WAY,LANCASTER,CA,93535
90694,1318     WILLSBROOK CT,WESTLAKE VILLAGE,CA,91361
90695,1318     WOOD TRL,LAKE IN THE HILLS,IL,60102
90696,1318     YORK ST,SAN FRANCISCO,CA,94110
90697,13180     BEAVER ST,SYLMAR,CA,91342
90698,13180     HERITAGE CIR,ROYAL OAKS,CA,95076
90699,13180     JACKSON RD,SLOUGHHOUSE,CA,95683
90700,13180     JUDD ST,PACOIMA,CA,91331
90701,13180     LA SALLE RD,DESERT HOT SPRINGS,CA,92240
90702,13180     MERCER ST,PACOIMA,CA,91331
90703,13180     MURDOCK TER,EDEN PRAIRIE,MN,55347
90704,13181     BROMONT AVE,SYLMAR,CA,91342
90705,13181     DRAKE ST,GARDEN GROVE,CA,92844
90706,13181     MONTAGUE ST,ARLETA,CA,91331
90707,13181     SPIRE CIR,CHINO HILLS,CA,91709
90708,13182     CORCORAN ST,SAN FERNANDO,CA,91340
90709,13182     PINNEY ST,PACOIMA,CA,91331
90710,13182     SUNSET LN,MORENO VALLEY,CA,92553
90711,13182     VAUGHN ST,SAN FERNANDO,CA,91340
90712,13182     YOCKEY ST,GARDEN GROVE,CA,92844
90713,131820     S GRAND AVE,LOS ANGELES,CA,90061
90714,13183 1/2 BROMONT AVE,SYLMAR,CA,91342
90715,13183     BEAVER ST,SYLMAR,CA,91342
90716,13183     BROMONT AVE,SYLMAR,CA,91342
90717,13183     GLAMIS ST,PACOIMA,CA,91331
90718,13183     HERRON ST,SYLMAR,CA,91342
90719,13183     STANFORD DR,VICTORVILLE,CA,92392
90720,13184     DEBELL ST,ARLETA,CA,91331
90721,13184     JANETTA PL,SAN DIEGO,CA,92130
90722,13184     WHEELER AVE,SYLMAR,CA,91342
90723,13185 1/2 BROMONT AVE,SYLMAR,CA,91342
90724,13185     AZTEC ST,SYLMAR,CA,91342
90725,13185     BROMONT AVE,SYLMAR,CA,91342
90726,13185     BRYSON ST,ARLETA,CA,91331
90727,13185     FLAGSTAFF DR,RANCHO CUCAMONGA,CA,91739
90728,13185     MERCER ST,PACOIMA,CA,91331
90729,13186     NOB HL,NEVADA CITY,CA,95959
90730,13186     ROUNDOAK WAY,VICTORVILLE,CA,92392
90731,13187     GWYNETH DR,TUSTIN,CA,92780
90732,13187     KELOWNA ST,PACOIMA,CA,91331
90733,13187     SAYRE ST,SYLMAR,CA,91342
90734,13187     SW 64TH AVE,PORTLAND,OR,97219
90735,13188     CORCORAN ST,SAN FERNANDO,CA,91340
90736,13188     ECLIPSE AVE,VICTORVILLE,CA,92392
90737,13188     LEACH ST,SYLMAR,CA,91342
90738,13188     PACOIMA RD,VICTORVILLE,CA,92392
90739,13188     SPIRE CIR,CHINO HILLS,CA,91709
90740,13188     W REDFIELD RD,SURPRISE,AZ,85379
90741,13189     AZTEC ST,SYLMAR,CA,91342
90742,13189     BROMONT AVE,SYLMAR,CA,91342
90743,13189     OAKS AVE,CHINO,CA,91710
90744,13189     STELLAR AVE,CHINO,CA,91710
90745,1319 1/2 CALUMET AVE,LOS ANGELES,CA,90026
90746,1319 1/2 DOUGLAS ST,LOS ANGELES,CA,90026
90747,1319 1/2 HOLLISTER ST,SAN FERNANDO,CA,91340
90748,1319 1/2 N MCCADDEN PL,LOS ANGELES,CA,90028
90749,1319 1/2 W 112TH ST,LOS ANGELES,CA,90044
90750,1319 1/2 W MANCHESTER AVE,LOS ANGELES,CA,90044
90751,1319 1/2 W MARTIN LUTHER KING JR BLVD,LOS ANGELES,CA,90037
90752,1319     11TH AVE,SAN FRANCISCO,CA,94122
90753,1319     11TH ST,SANTA MONICA,CA,90401
90754,1319     12 ARAPALEOE ST,LOS ANGELES,CA,90021
90755,1319     159TH AVE,SAN LEANDRO,CA,94578
90756,1319     22ND AVE,SAN FRANCISCO,CA,94122
90757,1319     25TH AVE,SAN FRANCISCO,CA,94122
90758,1319     28TH AVE,SAN FRANCISCO,CA,94122
90759,1319     29TH AVE S,SEATTLE,WA,98144
90760,1319     34TH AVE,SAN FRANCISCO,CA,94122
90761,1319     41ST AVE,SAN FRANCISCO,CA,94122
90762,1319     43RD AVE,SAN FRANCISCO,CA,94122
90763,1319     7TH AVE,SAN FRANCISCO,CA,94122
90764,1319     82ND AVE,OAKLAND,CA,94621
90765,1319     ACACIA AVE,SAN BERNARDINO,CA,92405
90766,1319     ACORN ST,LEMONT,IL,60439
90767,1319     ALBEMARLE ST,SAINT PAUL,MN,55117
90768,1319     AVENIDA DE CORTEZ,PACIFIC PALISADES,CA,90272
90769,1319     AVIATION BLVD,REDONDO BEACH,CA,90278
90770,1319     BALLYSHANNON PKWY,ORLANDO,FL,32828
90771,1319     BATTERY ST,RICHMOND,CA,94801
90772,1319     BAY RIDGE AVE,BROOKLYN,NY,11219
90773,1319     BERKELEY ST,SANTA MONICA,CA,90404
90774,1319     BREWSTER CT,EL CERRITO,CA,94530
90775,1319     BRIDGEWAY,SAUSALITO,CA,94965
90776,1319     CARLTON DR,GLENDALE,CA,91205
90777,1319     CARROLL ST,BROOKLYN,NY,11213
90778,1319     CHURCH ST,SAN FRANCISCO,CA,94114
90779,1319     COLUMBIA DR,GLENDALE,CA,91205
90780,1319     DE NEVE LN,LOS ANGELES,CA,90033
90781,1319     DIAMOND ST,SAN DIEGO,CA,92109
90782,1319     DOROTHY LN,FULLERTON,CA,92831
90783,1319     E 3RD ST,LONG BEACH,CA,90802
90784,1319     E 62ND ST,TULSA,OK,74136
90785,1319     E 78TH ST,LOS ANGELES,CA,90001
90786,1319     E 90TH ST,LOS ANGELES,CA,90002
90787,1319     E BRIDGER AVE,LAS VEGAS,NV,89101
90788,1319     E GARFIELD AVE,GLENDALE,CA,91205
90789,1319     E HARVARD ST,GLENDALE,CA,91205
90790,1319     E JULIUS ST,CASA GRANDE,AZ,85122
90791,1319     E WICKIEUP LN,PHOENIX,AZ,85024
90792,1319     FAIRFIELD ST,GLENDALE,CA,91201
90793,1319     FITZGERALD AVE,SAN FRANCISCO,CA,94124
90794,1319     FRUITDALE AVE,SAN JOSE,CA,95126
90795,1319     GATES PL,SOUTH PASADENA,CA,91030
90796,1319     GLACIER DR,MILPITAS,CA,95035
90797,1319     GREENWICH ST,SAN FRANCISCO,CA,94109
90798,1319     HALE DR,CONCORD,CA,94518
90799,1319     HAVENHURST DR,WEST HOLLYWOOD,CA,90046
90800,1319     HOLLISTER ST,SAN FERNANDO,CA,91340
90801,1319     IDAHO AVE,SANTA MONICA,CA,90403
90802,1319     JACKSON ST,SAN FRANCISCO,CA,94109
90803,1319     KNOX ST,SAN FERNANDO,CA,91340
90804,1319     LA LOMA RD,PASADENA,CA,91105
90805,1319     LARMOR AVE,ROWLAND HEIGHTS,CA,91748
90806,1319     LAS FLORES DR,LOS ANGELES,CA,90041
90807,1319     LAUREL ST,MENLO PARK,CA,94025
90808,1319     LAUREL TREE LN,CARLSBAD,CA,92011
90809,1319     LINCOLN ST,EVANSTON,IL,60201
90810,1319     LORING ST,SAN DIEGO,CA,92109
90811,1319     LOS AMIGOS AVE,SIMI VALLEY,CA,93065
90812,1319     MAIN ST,VENICE,CA,90291
90813,1319     MASSELIN AVE,LOS ANGELES,CA,90019
90814,1319     MCCOLLUM ST,LOS ANGELES,CA,90026
90815,1319     MILITARY CUTOFF RD,WILMINGTON,NC,28405
90816,1319     MONTEGO,WALNUT CREEK,CA,94598
90817,1319     N 10TH ST,ARKADELPHIA,AR,71923
90818,1319     N A ST,RICHMOND,IN,47374
90819,1319     N AVENUE 54,LOS ANGELES,CA,90042
90820,1319     N BRIARGATE LN,COVINA,CA,91722
90821,1319     N CORONADO ST,LOS ANGELES,CA,90026
90822,1319     N DETROIT ST,LOS ANGELES,CA,90046
90823,1319     N DITMAN AVE,LOS ANGELES,CA,90063
90824,1319     N EDGEWATER DR,CHARLESTON,SC,29407
90825,1319     N FASHION LN,ANAHEIM,CA,92806
90826,1319     N HARBOR BLVD,LOS ANGELES,CA,90027
90827,1319     N MARION ST,DENVER,CO,80218
90828,1319     N OAKLEY BLVD,CHICAGO,IL,60622
90829,1319     N OGDEN DR,WEST HOLLYWOOD,CA,90046
90830,1319     N SCREENLAND DR,BURBANK,CA,91505
90831,1319     NADEAU ST,LOS ANGELES,CA,90001
90832,1319     NEPTUNE AVE,ENCINITAS,CA,92024
90833,1319     NORVELL ST,EL CERRITO,CA,94530
90834,1319     OAKWOOD DR,SAN BERNARDINO,CA,92405
90835,1319     OJO FELIZ ST SW,ALBUQUERQUE,NM,87121
90836,1319     OLIVE ST,SANTA BARBARA,CA,93101
90837,1319     PACIFIC ST,SANTA MONICA,CA,90405
90838,1319     PEARL ST,ALAMEDA,CA,94501
90839,1319     PECKHAM ST,FULLERTON,CA,92833
90840,1319     PINE ST,BOULDER,CO,80302
90841,1319     PRINCETON ST,SANTA MONICA,CA,90404
90842,1319     PUNAHOU ST,HONOLULU,HI,96826
90843,1319     RANDALL ST,GLENDALE,CA,91201
90844,1319     S 166TH ST,OMAHA,NE,68130
90845,1319     S 1ST ST W,MISSOULA,MT,59801
90846,1319     S 36TH ST,SAN DIEGO,CA,92113
90847,1319     S 50TH CT,CICERO,IL,60804
90848,1319     S ATLANTIC DR,COMPTON,CA,90221
90849,1319     S BEACON ST,SAN PEDRO,CA,90731
90850,1319     S BURNSIDE AVE,LOS ANGELES,CA,90019
90851,1319     S COUNTRY WAY,LA HABRA,CA,90631
90852,1319     S CROWE ST,VISALIA,CA,93277
90853,1319     S FETTERLY AVE,LOS ANGELES,CA,90022
90854,1319     S GENESEE AVE,LOS ANGELES,CA,90019
90855,1319     S GUNLOCK AVE,COMPTON,CA,90220
90856,1319     S MANHATTAN PL,LOS ANGELES,CA,90019
90857,1319     S OGDEN DR,LOS ANGELES,CA,90019
90858,1319     S SIERRA BONITA AVE,LOS ANGELES,CA,90019
90859,1319     S VANCOUVER AVE,LOS ANGELES,CA,90022
90860,1319     SANGAMORE ST,HAYWARD,CA,94545
90861,1319     SEWARD ST,LOS ANGELES,CA,90028
90862,1319     STEVENS AVE,SAN GABRIEL,CA,91776
90863,1319     SUTHERLAND ST,LOS ANGELES,CA,90026
90864,1319     SW SKYLINE BLVD,PORTLAND,OR,97221
90865,1319     THURSTON RD,DICKERSON,MD,20842
90866,1319     TRIPP AVE,SAN JOSE,CA,95116
90867,1319     VALLEJO ST,SAN FRANCISCO,CA,94109
90868,1319     VERSANT DR,BRANDON,FL,33511
90869,1319     W 104TH ST,LOS ANGELES,CA,90044
90870,1319     W 109TH ST,LOS ANGELES,CA,90044
90871,1319     W 112TH ST,LOS ANGELES,CA,90044
90872,1319     W 17TH ST,LOS ANGELES,CA,90006
90873,1319     W 65TH ST,LOS ANGELES,CA,90044
90874,1319     W 69TH ST,LOS ANGELES,CA,90044
90875,1319     W 87TH ST,LOS ANGELES,CA,90044
90876,1319     W 89TH ST,LOS ANGELES,CA,90044
90877,1319     W 90TH ST,LOS ANGELES,CA,90044
90878,1319     W L ST,WILMINGTON,CA,90744
90879,1319     W MAGNOLIA ST,COMPTON,CA,90220
90880,1319     W MANCHESTER AVE,LOS ANGELES,CA,90044
90881,1319     W ORANGEBURG AVE,MODESTO,CA,95350
90882,1319     W PAPEETE ST,WILMINGTON,CA,90744
90883,1319     W PARK WESTERN DR,SAN PEDRO,CA,90732
90884,1319     WEBSTER ST,BALTIMORE,MD,21230
90885,1319     WESTMONT DR,SAN PEDRO,CA,90732
90886,1319     WHITTIER AVE,BREA,CA,92821
90887,1319     WOODRUFF AVE,LOS ANGELES,CA,90024
90888,1319     YALE ST,SANTA MONICA,CA,90404
90889,1319     YOSEMITE DR,CORCORAN,CA,93212
90890,13190     BROMONT AVE,SYLMAR,CA,91342
90891,13190     REEDLEY ST,ARLETA,CA,91331
90892,13191     HERRON ST,SYLMAR,CA,91342
90893,13191     LEACH ST,SYLMAR,CA,91342
90894,13191     RANCHERO PL,GARDEN GROVE,CA,92843
90895,13191     SUSSEX PL,SANTA ANA,CA,92705
90896,13191     TOPOCK RD,APPLE VALLEY,CA,92308
90897,13192     BRACKEN ST,ARLETA,CA,91331
90898,13192     BRANFORD ST,ARLETA,CA,91331
90899,13192     FORDHAM CIR,VICTORVILLE,CA,92392
90900,13192     WICKSHIRE LN,TUSTIN,CA,92782
90901,13193 1/2 BROMONT AVE,SYLMAR,CA,91342
90902,13193     BROMONT AVE,SYLMAR,CA,91342
90903,13193     CORRENTI ST,ARLETA,CA,91331
90904,13193     N HUMPHREYS PEAK DR,ORO VALLEY,AZ,85755
90905,13194     FERNMONT ST,SYLMAR,CA,91342
90906,13194     SPUR BRANCH CIR,CORONA,CA,92883
90907,13195     ERIN DR,AUBURN,CA,95603
90908,13195     HERRON ST,SYLMAR,CA,91342
90909,13195     SPUR BRANCH CIR,CORONA,CA,92883
90910,13196     NORRIS AVE,SYLMAR,CA,91342
90911,13196     W 88TH CT,LENEXA,KS,66215
90912,13197 1/2 BROMONT AVE,SYLMAR,CA,91342
90913,13197     BROMONT AVE,SYLMAR,CA,91342
90914,13197     POTTS DR,SAN JOSE,CA,95111
90915,13197     TRIPOLI AVE,SYLMAR,CA,91342
90916,13198     ECLIPSE AVE,VICTORVILLE,CA,92392
90917,13199     OCOTILLO RD,DESERT HOT SPRINGS,CA,92240
90918,13199     TERRY CT,MORENO VALLEY,CA,92553
90919,1319A 4TH AVE,SAN FRANCISCO,CA,94122
90920,131A 4TH AVE,SAN FRANCISCO,CA,94118
90921,131A ORD ST,SAN FRANCISCO,CA,94114
90922,131A RANDOLPH ST,SAN FRANCISCO,CA,94132
90923,131B HARTFORD ST,SAN FRANCISCO,CA,94114
90924,131B PFEIFFER ST,SAN FRANCISCO,CA,94133
90925,132 1/2 LOWELL RD,PEPPERELL,MA,1463
90926,132 1/2 N OXFORD AVE,LOS ANGELES,CA,90004
90927,132 1/2 S CATALINA ST,LOS ANGELES,CA,90004
90928,132     10TH AVE,SAN FRANCISCO,CA,94118
90929,132     19TH AVE,SAN FRANCISCO,CA,94121
90930,132     22ND AVE,SAN MATEO,CA,94403
90931,132     23RD AVE,SAN MATEO,CA,94403
90932,132     25TH AVE,SAN FRANCISCO,CA,94121
90933,132     27TH ST,SAN FRANCISCO,CA,94110
90934,132     29TH ST,HERMOSA BEACH,CA,90254
90935,132     2ND AVE,SAN FRANCISCO,CA,94118
90936,132     7TH AVE,KIRKLAND,WA,98033
90937,132     8TH ST,MANHATTAN BEACH,CA,90266
90938,132     ALBERT BLVD,POTTSVILLE,PA,17901
90939,132     ALLEN ST,NEW YORK,NY,10002
90940,132     ALLEY WAY,MOUNTAIN VIEW,CA,94040
90941,132     ALMOND AVE,MODESTO,CA,95354
